"CMUN" "ETIQUETA" "MUNICIPIO" "DIRECCIÓN" "lon" "lat"
"058" "Juguettos" "Fuenlabrada" "Calle Leganés, 27" -3.79131817319854 40.2884560011333
"015" "Juguettos" "Arroyomolinos" "Calle Puerto de Navacerrada, s/n-Autovía A5, salidas 22 y 25 (C. Comercial Madrid Xanadú)" -3.92411395929742 40.3007956561182
"013" "Juguettos" "Aranjuez" "Calle Almíbar, 46" -3.60164575501576 40.0342913710598
"013" "Juguettos" "Aranjuez" "Calle Almíbar, 65" -3.60136304528481 40.0340320492588
"134" "Juguettos" "San Sebastián de los Reyes" "Paseo de Europa, s/n" -3.62310148252284 40.546140591103
"007" "Juguettos" "Alcorcón" "Calle Las Industrias, 55 (Polg. Ind. Urtinsa II)" -3.81518760885624 40.3391672938776
"007" "Juguettos" "Alcorcón" "Avenida América, 7-9 (Centro Comercial Tres Aguas)" -3.82985956112284 40.3597705568955
"007" "Juguettos" "Alcorcón" "Calle Alfares, 1" -3.82661279710708 40.3475237707664
"005" "Juguettos" "Alcalá de Henares" "Calle Pintor Juan de Arellano, semiesquina Calle Manuel Azaña" -3.36100281384297 40.488065146892
"005" "Juguettos" "Alcalá de Henares" "Calle Polonia, 4 (Polígono Industrial Navalsa)" -3.39711416485461 40.4771452109708
"148" "Juguettos" "Torrejón de Ardoz" "Avenida Virgen de Loreto, 16" -3.47393796660859 40.460750485628
"161" "Juguettos" "Valdemoro" "Plaza Romano, 2" -3.67619099332447 40.1935459290771
"079" "Juguettos" "Madrid" "Calle Oca, 65" -3.7380894869001 40.3900097893783
"079" "Juguettos" "Rivas - Vaciamadrid" "Plaza de la Constitución, 2 (Centro Comercial Rivas Centro)" -3.54611900619367 40.3571432207231
"084" "Juguettos" "Mejorada del Campo" "Avenida Enrique Tierno Galván, 7" -3.48443499974778 40.3997959087954
"127" "Juguettos" "Rozas de Madrid, Las" "Avda. Comunidad de Madrid, 37 (Centro Comercial Burgocentro)" -3.87420859937522 40.4907998319083
"080" "Juguettos" "Majadahonda" "Calle de los Químicos, s/n (Urb. Carril de Tejar - Centro Comercial Gran Plaza 2)" -3.89865139141272 40.493053674988
"079" "Juguettos" "Madrid" "Calle Calderilla, 1 (Centro Comercial Isla Azul)" -3.73759305393842 40.3653597030489
"006" "Toys' R us" "Alcobendas" "Ctra. Fuencarral, 7 (Centro Comercial Rio Norte)" -3.64554085128323 40.5317883047163
"007" "Toys' R us" "Alcorcón" "Avenida de Europa, 17 D (Centro Comercial Parque Oeste-Ctra. Nacional V, km. 16)" -3.85070421641383 40.347619342166
"074" "Toys' R us" "Leganés" "Avenida Puerta del Sol, 2-Ctra m-425 (Parque Comercial Plaza Nueva)" -3.75616416319105 40.3451590136221
"080" "Toys' R us" "Majadahonda" "Calle Azafrán, 13 (Centro Comercial Milenium)" -3.86670601310828 40.4569928691436
"148" "Toys' R us" "Torrejón de Ardoz" "Ctra. Ajalvir, Km. 6 (Centro Comercial Parque Corredor)" -3.47783175619966 40.478214131998
"123" "Toys' R us" "Rivas - Vaciamadrid" "Calle Marie Curie, s/n (Parque Comercial Rivas Futura, A3 salida km. 17)" -3.53094703785105 40.3367054816359
"065" "Toys' R us" "Getafe" "Calle Rio Guadalquivir, 13 (Centro de Ocio Nassica)" -3.69547098421539 40.2734170606053
"079" "Toys' R us" "Madrid" "Calle Bravo Murillo, 187" -3.70174408279474 40.4551482192349
"079" "Fnac" "Madrid" "Calle Preciados, 28" -3.70388666945531 40.4202447512243
"134" "Fnac" "San Sebastián de los Reyes" "Plaza del Comercio 11-12 (Autovía A-1 salida 19-Centro Comercial Plaza Norte 2)" -3.61358694227078 40.5424115711525
"074" "Fnac" "Leganés" "Avenida Gran Bretaña, s/n (Centro Comercial Parquesur)" -3.73146211077567 40.3416989308223
"079" "Fnac" "Madrid" "Calle Adolfo Bioy Casares, 2 (Centro Comercial La Gavia)" -3.59607742129751 40.3693410988587
"079" "Fnac" "Madrid" "Paseo de la Castellana, 79" -3.69131545894858 40.4487851318259
"080" "Fnac" "Majadahonda" "Calle de los Químicos, s/n (Urb. Carril de Tejar-Centro Comercial Gran Plaza 2)" -3.89675680301937 40.4925549022777
