"bathrooms","exterior","price","rooms","size","longitude","latitude"
1,TRUE,175000,2,135,-3.7037407,40.3891097
3,FALSE,1450000,4,480,-3.6643388,40.4629501
1,FALSE,166000,3,87,-3.7023113,40.4229425
2,TRUE,285000,3,105,-3.731248,40.4050172
1,TRUE,95000,4,75,-3.638889,40.4349684
3,TRUE,1800000,4,300,-3.6845131,40.4262111
3,TRUE,1e+06,5,263,-3.6943058,40.456417
3,TRUE,519417,4,172,-3.7055572,40.4463539
1,TRUE,230000,3,110,-3.7049703,40.4651249
4,TRUE,1205000,7,316,-3.7204538,40.4291284
2,TRUE,415000,3,125,-3.7035395,40.4281005
2,TRUE,170000,3,120,-3.6993678,40.3698895
4,TRUE,850000,5,240,-3.6954227,40.4605694
1,TRUE,140000,1,50,-3.5765258,40.4476652
1,FALSE,91200,3,70,-3.7174307,40.3807166
1,TRUE,120000,4,100,-3.6708901,40.383734
1,TRUE,207800,1,79,-3.6151955,40.4973512
1,TRUE,155000,2,72,-3.7025581,40.4673658
4,TRUE,1425000,4,380,-3.6877541,40.4551449
1,TRUE,2e+05,1,74,-3.6151955,40.4973512
1,TRUE,315000,4,119,-3.6661159,40.4281599
2,TRUE,329000,3,139,-3.6151955,40.4973512
2,TRUE,380000,2,105,-3.7121879,40.4455682
1,TRUE,60000,2,60,-3.717825,40.3421437
1,FALSE,594700,6,188,-3.6817916,40.4591266
2,TRUE,374000,2,101,-3.6771658,40.4095792
2,TRUE,331000,3,110,-3.6048401,40.4330786
2,TRUE,260000,2,77,-3.6805599,40.4536236
1,TRUE,240000,3,90,-3.6587467,40.4789191
1,TRUE,152000,3,80,-3.7092121,40.3908156
2,TRUE,329900,2,118,-3.7836041,40.4497176
3,TRUE,980000,4,274,-3.686461,40.4498318
2,TRUE,395000,3,162,-3.6151955,40.4973512
2,TRUE,8e+05,5,225,-3.7092027,40.4177744
4,FALSE,2500000,5,331,-3.6813187,40.4484336
1,TRUE,195000,1,55,-3.6682935,40.4318891
2,TRUE,235000,3,100,-3.7129489,40.3817542
1,TRUE,80200,2,55,-3.6502297,40.4236335
3,TRUE,569843,4,188,-3.7055572,40.4463539
1,TRUE,210000,1,50,-3.6649281,40.4354673
2,TRUE,640000,5,170,-3.713794,40.4368282
2,TRUE,285000,2,144,-3.6151955,40.4973512
4,TRUE,9e+05,6,371,-3.6151955,40.4973512
1,TRUE,240000,3,91,-3.7123853,40.483083
4,TRUE,650000,4,314,-3.6151955,40.4973512
3,TRUE,440000,4,184,-3.6151955,40.4973512
3,TRUE,1370000,5,310,-3.7171673,40.4246113
2,TRUE,220000,2,68,-3.657634,40.4337583
1,TRUE,58900,2,60,-3.6391911,40.3877319
2,TRUE,225000,2,91,-3.6151955,40.4973512
2,TRUE,275281,3,117,-3.6239087,40.4825445
2,TRUE,295000,3,112,-3.6151955,40.4973512
2,TRUE,231000,2,92,-3.6151955,40.4973512
2,TRUE,245000,4,105,-3.5799216,40.4696991
3,TRUE,750000,3,160,-3.6806684,40.4573628
1,TRUE,266400,4,112,-3.6994772,40.4108628
3,TRUE,670000,5,235,-3.681738,40.4418677
3,TRUE,650000,4,173,-3.7247383,40.4726321
4,TRUE,2200000,4,400,-3.6905323,40.4309332
1,FALSE,219000,2,73,-3.7020615,40.451642
1,TRUE,70000,0,33,-3.727208,40.3941817
1,TRUE,240000,3,104,-3.7017698,40.4112553
2,TRUE,192200,3,88,-3.5944542,40.3574574
2,TRUE,391875,4,139,-3.6682928,40.4546627
2,TRUE,278000,2,86,-3.606737,40.3750125
2,TRUE,480000,3,117,-3.6714991,40.4637671
