,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,year,grupo
0,0.12724789739999653,0.0988646494848454,-2.7256197006338425,0.017582346664977173,0.1839249645050515,0.03381892102901344,0.054233843676251337,0.13437840589724143,1940.0,0.0
1,0.125031443846,0.0724943941418,-2.73797399115,0.00843861643134,0.181347579364,0.0309188532781,0.0350743217514,0.12958258868,1940.0,1.0
2,0.108762873891,0.0477246330953,-2.74038362556,0.0132703845125,0.209104661146,0.0328565158754,0.0475017090961,0.100206227057,1940.0,2.0
3,0.127793936647,0.0738770419572,-2.73251779881,0.0135021752214,0.171384562317,0.0456988233108,0.0500968789394,0.136258903954,1940.0,3.0
4,0.0935791094549,0.0514925414003,-2.75132090043,0.00931182337137,0.168703791287,0.0534767629408,0.03358537414,0.0861928837102,1940.0,4.0
5,0.111943731435,0.080249873843,-2.73929757067,0.0168847121575,0.173579787726,0.0587379258873,0.0342796566763,0.096061004996,1940.0,5.0
6,0.121256749859,0.155180766452,-2.68665293309,0.0218106695362,0.211529797579,0.0862006225807,0.103009500351,0.162511030916,1940.0,6.0
7,0.138894141408,0.106763055155,-2.71416019441,0.0215510275001,0.196693135403,0.0529165670852,0.0574340349411,0.141479808888,1940.0,7.0
8,0.126150932899,0.0743463445491,-2.73805098694,0.015121022703,0.175511531215,0.0299153572309,0.0436620331899,0.11776217776,1940.0,8.0
9,0.129805788446,0.0741834595482,-2.73392462917,0.0148414037075,0.186053099139,0.0287371783495,0.0435040893152,0.128195690649,1940.0,9.0
10,0.126701650813,0.0886841358885,-2.73523804693,0.0113754091577,0.153544248601,0.0638402865632,0.0354761099708,0.11679371162,1940.0,10.0
11,0.135393391937,0.151015750443,-2.71111764373,0.0259096091896,0.161819427582,0.0303242666386,0.0835624618067,0.133301862619,1940.0,11.0
12,0.146107964356,0.0978927229672,-2.71696583592,0.0104964567216,0.193594305521,0.0562473325559,0.054536351327,0.138477076088,1940.0,12.0
13,0.100440607601,0.12073253716,-2.70404393845,0.0123014953317,0.264691910813,0.0139439206572,0.0827024025996,0.108804332498,1940.0,13.0
14,0.124444771958,0.0757498406711,-2.72972478859,0.0173802767903,0.189190143313,0.0466396976114,0.0448923477904,0.1326465451,1940.0,14.0
15,0.136631257314,0.0997266651022,-2.72082318164,0.0207736917663,0.189879874855,0.045203151849,0.0552897803557,0.134582041555,1940.0,15.0
