,year,rank,singer,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
3266,1980,83,Pat Benatar,Heartbreaker,0.466,0.588,5,-10.666,0,0.0812,0.285,9.94e-06,0.0535,0.882,156.131,audio_features,22ML0MuFKfw16WejbxsLOy,spotify:track:22ML0MuFKfw16WejbxsLOy,https://api.spotify.com/v1/tracks/22ML0MuFKfw16WejbxsLOy,https://api.spotify.com/v1/audio-analysis/22ML0MuFKfw16WejbxsLOy,209360,4,
3267,1980,84,Dionne Warwick,Deja Vu,0.572,0.335,1,-19.561,0,0.0404,0.576,0.000841,0.0615,0.625,145.552,audio_features,6e3z6ytfhTEUMRxdCYlgAV,spotify:track:6e3z6ytfhTEUMRxdCYlgAV,https://api.spotify.com/v1/tracks/6e3z6ytfhTEUMRxdCYlgAV,https://api.spotify.com/v1/audio-analysis/6e3z6ytfhTEUMRxdCYlgAV,307200,4,
3268,1980,85,Eddie Rabbitt,Drivin’ My Life Away,0.53,0.872,9,-4.808,1,0.0454,0.139,0,0.116,0.852,166.414,audio_features,6P377rxYdZlbUTGiTDC1XL,spotify:track:6P377rxYdZlbUTGiTDC1XL,https://api.spotify.com/v1/tracks/6P377rxYdZlbUTGiTDC1XL,https://api.spotify.com/v1/audio-analysis/6P377rxYdZlbUTGiTDC1XL,215833,4,
3269,1980,86,Supertramp,Take The Long Way Home,0.349,0.648,5,-11.566,1,0.0349,0.192,5.78e-06,0.975,0.389,82.192,audio_features,3bdcWJPfW9Xxb78BAUiBuf,spotify:track:3bdcWJPfW9Xxb78BAUiBuf,https://api.spotify.com/v1/tracks/3bdcWJPfW9Xxb78BAUiBuf,https://api.spotify.com/v1/audio-analysis/3bdcWJPfW9Xxb78BAUiBuf,287720,4,
3270,1980,87,Fleetwood Mac,Sara,0.741,0.388,10,-16.693,1,0.031,0.384,0.0235,0.0933,0.589,126.819,audio_features,0q1exbzIDRxqJ6VUKH3seg,spotify:track:0q1exbzIDRxqJ6VUKH3seg,https://api.spotify.com/v1/tracks/0q1exbzIDRxqJ6VUKH3seg,https://api.spotify.com/v1/audio-analysis/0q1exbzIDRxqJ6VUKH3seg,382373,4,
3271,1980,88,Daryl Hall and John Oates,Wait For Me,0.646,0.861,9,-6.647,0,0.0521,0.0328,0.000701,0.192,0.887,91.533,audio_features,6QRXuf3AtNXowhKAgHK5gb,spotify:track:6QRXuf3AtNXowhKAgHK5gb,https://api.spotify.com/v1/tracks/6QRXuf3AtNXowhKAgHK5gb,https://api.spotify.com/v1/audio-analysis/6QRXuf3AtNXowhKAgHK5gb,274333,4,
3272,1980,89,Boz Scaggs,Jo Jo,0.526,0.232,6,-12.937,1,0.0328,0.869,0.000158,0.115,0.121,133.383,audio_features,6UfYua7ARMZ6oIpmLtz2eP,spotify:track:6UfYua7ARMZ6oIpmLtz2eP,https://api.spotify.com/v1/tracks/6UfYua7ARMZ6oIpmLtz2eP,https://api.spotify.com/v1/audio-analysis/6UfYua7ARMZ6oIpmLtz2eP,273920,4,
3273,1980,90,Neil Diamond,September Morn,0.651,0.462,4,-15.515,1,0.0685,0.0554,1.16e-06,0.0583,0.82,86.783,audio_features,7Mp0gjuz9DYp4AIDdgmxqc,spotify:track:7Mp0gjuz9DYp4AIDdgmxqc,https://api.spotify.com/v1/tracks/7Mp0gjuz9DYp4AIDdgmxqc,https://api.spotify.com/v1/audio-analysis/7Mp0gjuz9DYp4AIDdgmxqc,143640,4,
3274,1980,91,George Benson,Give Me The Night,0.599,0.873,10,-8.17,0,0.188,0.566,8.51e-06,0.892,0.393,114.033,audio_features,7xsODuCBbfze77Zxyx4PWs,spotify:track:7xsODuCBbfze77Zxyx4PWs,https://api.spotify.com/v1/tracks/7xsODuCBbfze77Zxyx4PWs,https://api.spotify.com/v1/audio-analysis/7xsODuCBbfze77Zxyx4PWs,418893,4,
3275,1980,92,Anne Murray,Broken Hearted Me,0.432,0.446,1,-8.493,1,0.0266,0.262,2.93e-06,0.134,0.0876,133.842,audio_features,07Cs882pDSCuggekDdmw4K,spotify:track:07Cs882pDSCuggekDdmw4K,https://api.spotify.com/v1/tracks/07Cs882pDSCuggekDdmw4K,https://api.spotify.com/v1/audio-analysis/07Cs882pDSCuggekDdmw4K,238067,4,
3276,1980,93,Kenny Rogers,You Decorated My Life,0.217,0.288,7,-15.505,1,0.0294,0.405,0,0.115,0.229,173.291,audio_features,2IbhWAMnHvKqLqUbc0CW4K,spotify:track:2IbhWAMnHvKqLqUbc0CW4K,https://api.spotify.com/v1/tracks/2IbhWAMnHvKqLqUbc0CW4K,https://api.spotify.com/v1/audio-analysis/2IbhWAMnHvKqLqUbc0CW4K,220093,4,
3277,1980,94,Fleetwood Mac,Tusk,0.735,0.534,10,-12.154,1,0.0295,0.423,0.00267,0.204,0.551,127.01,audio_features,0YuCATlVwxG5Mq8lN2Omro,spotify:track:0YuCATlVwxG5Mq8lN2Omro,https://api.spotify.com/v1/tracks/0YuCATlVwxG5Mq8lN2Omro,https://api.spotify.com/v1/audio-analysis/0YuCATlVwxG5Mq8lN2Omro,275107,4,
3278,1980,95,Prince,I Wanna Be Your Lover,0.793,0.442,8,-11.293,0,0.0564,0.236,0.00163,0.0662,0.833,115.995,audio_features,4gi2ioQwGOBXTrXlBR9RfQ,spotify:track:4gi2ioQwGOBXTrXlBR9RfQ,https://api.spotify.com/v1/tracks/4gi2ioQwGOBXTrXlBR9RfQ,https://api.spotify.com/v1/audio-analysis/4gi2ioQwGOBXTrXlBR9RfQ,180080,3,
3279,1980,96,Charlie Daniels Band,In America,0.595,0.891,5,-8.33,1,0.0529,0.0178,5.51e-06,0.14,0.837,117.519,audio_features,29j7cM4nqk8plXoSUPmbt6,spotify:track:29j7cM4nqk8plXoSUPmbt6,https://api.spotify.com/v1/tracks/29j7cM4nqk8plXoSUPmbt6,https://api.spotify.com/v1/audio-analysis/29j7cM4nqk8plXoSUPmbt6,199360,4,
3280,1980,97,Boz Scaggs,Breakdown Dead Ahead,0.584,0.703,7,-11.46,1,0.039,0.106,0.000916,0.171,0.454,146.302,audio_features,4No2FCBednOtAu66HAYsEv,spotify:track:4No2FCBednOtAu66HAYsEv,https://api.spotify.com/v1/tracks/4No2FCBednOtAu66HAYsEv,https://api.spotify.com/v1/audio-analysis/4No2FCBednOtAu66HAYsEv,275120,4,
3281,1980,98,Barry Manilow,Ships,0.322,0.436,0,-8.688,0,0.0327,0.72,0.0157,0.149,0.286,123.017,audio_features,2Dq8cGuEG2PKwdBvgGhHV0,spotify:track:2Dq8cGuEG2PKwdBvgGhHV0,https://api.spotify.com/v1/tracks/2Dq8cGuEG2PKwdBvgGhHV0,https://api.spotify.com/v1/audio-analysis/2Dq8cGuEG2PKwdBvgGhHV0,407733,4,
3282,1980,99,Joe Walsh,All Night Long,0.612,0.944,9,-2.582,1,0.123,0.00113,0.851,0.0724,0.656,115.922,audio_features,4g5LI1WRCJJSM4nh5AHXBa,spotify:track:4g5LI1WRCJJSM4nh5AHXBa,https://api.spotify.com/v1/tracks/4g5LI1WRCJJSM4nh5AHXBa,https://api.spotify.com/v1/audio-analysis/4g5LI1WRCJJSM4nh5AHXBa,224160,4,
3283,1980,100,Tom Petty and The Heartbreakers,Refugee,0.58,0.721,6,-4.802,0,0.0375,0.0284,0,0.0931,0.731,116.192,audio_features,0xNTHshHwDtCAn04Lq2i4H,spotify:track:0xNTHshHwDtCAn04Lq2i4H,https://api.spotify.com/v1/tracks/0xNTHshHwDtCAn04Lq2i4H,https://api.spotify.com/v1/audio-analysis/0xNTHshHwDtCAn04Lq2i4H,201693,4,
3284,1981,1,Kim Carnes,Bette Davis Eyes,0.684,0.498,5,-13.53,1,0.0351,0.0442,1.53e-06,0.121,0.596,116.447,audio_features,6Tpc2GoGC8XpjtRPmwBfLi,spotify:track:6Tpc2GoGC8XpjtRPmwBfLi,https://api.spotify.com/v1/tracks/6Tpc2GoGC8XpjtRPmwBfLi,https://api.spotify.com/v1/audio-analysis/6Tpc2GoGC8XpjtRPmwBfLi,225627,4,
3285,1981,2,Diana Ross and Lionel Richie,Endless Love,0.674,0.261,10,-16.639,1,0.0344,0.251,0.86,0.134,0.457,96.97,audio_features,3q2Io58hGKkaNX8UvBGIdE,spotify:track:3q2Io58hGKkaNX8UvBGIdE,https://api.spotify.com/v1/tracks/3q2Io58hGKkaNX8UvBGIdE,https://api.spotify.com/v1/audio-analysis/3q2Io58hGKkaNX8UvBGIdE,258413,4,
3286,1981,3,Kenny Rogers,Lady,0.482,0.324,2,-10.469,0,0.0272,0.56,0.00359,0.119,0.139,136.276,audio_features,44n6zIuXx78prMlg1svJnO,spotify:track:44n6zIuXx78prMlg1svJnO,https://api.spotify.com/v1/tracks/44n6zIuXx78prMlg1svJnO,https://api.spotify.com/v1/audio-analysis/44n6zIuXx78prMlg1svJnO,249827,4,
3287,1981,4,John Lennon,(Just Like) Starting Over,0.489,0.65,9,-10.46,1,0.112,0.328,7.11e-05,0.178,0.426,99.152,audio_features,7Jz6VGZtcg8aWoeCJ8Dccn,spotify:track:7Jz6VGZtcg8aWoeCJ8Dccn,https://api.spotify.com/v1/tracks/7Jz6VGZtcg8aWoeCJ8Dccn,https://api.spotify.com/v1/audio-analysis/7Jz6VGZtcg8aWoeCJ8Dccn,240147,4,
3288,1981,5,Rick Springfield,Jessie’s Girl,0.489,0.65,9,-10.46,1,0.112,0.328,7.11e-05,0.178,0.426,99.152,audio_features,7Jz6VGZtcg8aWoeCJ8Dccn,spotify:track:7Jz6VGZtcg8aWoeCJ8Dccn,https://api.spotify.com/v1/tracks/7Jz6VGZtcg8aWoeCJ8Dccn,https://api.spotify.com/v1/audio-analysis/7Jz6VGZtcg8aWoeCJ8Dccn,240147,4,
3289,1981,6,Kool and The Gang,Celebration,0.616,0.793,1,-9.822,1,0.067,0.0711,9.25e-06,0.354,0.668,123.12,audio_features,198QzBelhtixBfctyOUDXt,spotify:track:198QzBelhtixBfctyOUDXt,https://api.spotify.com/v1/tracks/198QzBelhtixBfctyOUDXt,https://api.spotify.com/v1/audio-analysis/198QzBelhtixBfctyOUDXt,280307,4,
3290,1981,7,Daryl Hall and John Oates,Kiss On My List,0.646,0.861,9,-6.647,0,0.0521,0.0328,0.000701,0.192,0.887,91.533,audio_features,6QRXuf3AtNXowhKAgHK5gb,spotify:track:6QRXuf3AtNXowhKAgHK5gb,https://api.spotify.com/v1/tracks/6QRXuf3AtNXowhKAgHK5gb,https://api.spotify.com/v1/audio-analysis/6QRXuf3AtNXowhKAgHK5gb,274333,4,
3291,1981,8,Eddie Rabbitt,I Love A Rainy Night,0.685,0.718,0,-7.724,1,0.0521,0.122,0,0.0556,0.958,131.463,audio_features,16P8A6yXX7UvfdMAyVDYNW,spotify:track:16P8A6yXX7UvfdMAyVDYNW,https://api.spotify.com/v1/tracks/16P8A6yXX7UvfdMAyVDYNW,https://api.spotify.com/v1/audio-analysis/16P8A6yXX7UvfdMAyVDYNW,191067,4,
3292,1981,9,Dolly Parton,9 To 5,0.581,0.483,11,-13.518,1,0.0502,0.0978,0.000214,0.141,0.811,103.176,audio_features,3PUrao7xB9jYq31eKVjrV6,spotify:track:3PUrao7xB9jYq31eKVjrV6,https://api.spotify.com/v1/tracks/3PUrao7xB9jYq31eKVjrV6,https://api.spotify.com/v1/audio-analysis/3PUrao7xB9jYq31eKVjrV6,163960,4,
3293,1981,10,REO Speedwagon,Keep On Loving You,0.316,0.739,0,-5.843,1,0.0338,0.036,0,0.187,0.371,174.903,audio_features,7CR06UPgZvsd2Y3MNjIVnA,spotify:track:7CR06UPgZvsd2Y3MNjIVnA,https://api.spotify.com/v1/tracks/7CR06UPgZvsd2Y3MNjIVnA,https://api.spotify.com/v1/audio-analysis/7CR06UPgZvsd2Y3MNjIVnA,201240,4,
3294,1981,11,Joey Scarbury,Theme From “Greatest American Hero”,0.7,0.505,2,-10.184,1,0.036,0.252,0.476,0.192,0.525,115.978,audio_features,0CJqdPoUEAe69SVyxJXG68,spotify:track:0CJqdPoUEAe69SVyxJXG68,https://api.spotify.com/v1/tracks/0CJqdPoUEAe69SVyxJXG68,https://api.spotify.com/v1/audio-analysis/0CJqdPoUEAe69SVyxJXG68,192445,4,
