Date,Open,High,Low,Close,Volume
13-Nov-15,53.07,53.29,52.53,52.84,36848175
12-Nov-15,53.48,53.98,53.19,53.32,35361095
11-Nov-15,53.70,54.20,53.46,53.65,36516260
10-Nov-15,54.07,54.13,53.27,53.51,55283697
9-Nov-15,54.55,54.87,53.56,54.16,32513067
6-Nov-15,54.08,54.98,53.96,54.92,32851204
5-Nov-15,54.49,54.70,54.00,54.38,31468485
4-Nov-15,54.18,54.88,54.06,54.40,37087849
3-Nov-15,52.93,54.39,52.90,54.15,36596931
2-Nov-15,52.85,53.36,52.62,53.24,30284982
30-Oct-15,53.32,53.99,52.62,52.64,46619761
29-Oct-15,53.54,53.83,53.22,53.36,30202078
28-Oct-15,53.54,53.98,52.86,53.98,47000753
27-Oct-15,53.99,54.37,53.58,53.69,50999907
26-Oct-15,52.53,54.32,52.50,54.25,64633324
23-Oct-15,52.30,54.07,52.25,52.87,135227059
22-Oct-15,47.53,48.95,47.09,48.03,56637074
21-Oct-15,47.92,47.99,47.11,47.20,25264710
20-Oct-15,47.44,47.81,47.02,47.77,30802235
19-Oct-15,47.42,47.88,47.02,47.62,29387581
16-Oct-15,47.02,47.54,46.90,47.51,26450334
15-Oct-15,47.01,47.03,46.53,47.01,27189370
14-Oct-15,46.65,47.10,46.53,46.68,24697766
13-Oct-15,46.56,47.13,46.56,46.89,19987816
12-Oct-15,46.98,47.07,46.50,47.00,19769066
9-Oct-15,47.45,47.54,46.92,47.11,28600632
8-Oct-15,46.56,47.52,46.50,47.45,33772709
7-Oct-15,47.10,47.35,45.95,46.80,27711492
6-Oct-15,46.33,47.18,46.22,46.75,27510808
5-Oct-15,45.74,46.89,45.70,46.63,34369286
2-Oct-15,44.27,45.57,43.92,45.57,41839035
1-Oct-15,44.75,44.75,43.75,44.61,28657859
30-Sep-15,43.88,44.30,43.66,44.26,34958880
29-Sep-15,43.37,43.57,43.05,43.44,32763557
28-Sep-15,43.83,44.08,43.20,43.29,27613785
25-Sep-15,44.48,44.73,43.76,43.94,29384601
24-Sep-15,43.45,44.13,43.27,43.91,27905607
23-Sep-15,43.93,44.17,43.51,43.87,17145238
22-Sep-15,43.38,44.05,43.31,43.90,28085903
21-Sep-15,43.62,44.47,43.60,44.11,26177224
18-Sep-15,43.50,43.99,43.33,43.48,63143684
17-Sep-15,44.29,45.00,44.08,44.25,32768161
16-Sep-15,43.97,44.38,43.84,44.30,23372162
15-Sep-15,43.19,44.29,43.08,43.98,28882206
14-Sep-15,43.43,43.44,42.86,43.04,23656048
11-Sep-15,43.14,43.59,42.94,43.48,27132527
10-Sep-15,43.12,43.79,42.74,43.29,31234165
9-Sep-15,44.21,44.40,42.91,43.07,33469485
8-Sep-15,43.30,44.00,43.20,43.89,32469766
4-Sep-15,42.81,43.04,42.20,42.61,37138775
3-Sep-15,43.41,43.98,43.28,43.50,28285205
2-Sep-15,42.36,43.38,41.88,43.36,37671518
1-Sep-15,42.17,42.59,41.66,41.82,49688896
31-Aug-15,43.56,43.93,43.10,43.52,34441662
28-Aug-15,43.40,44.15,43.39,43.93,28246725
27-Aug-15,43.23,43.95,42.92,43.90,50943211
26-Aug-15,42.01,42.84,41.06,42.71,63407996
25-Aug-15,42.56,43.24,40.39,40.47,70616597
24-Aug-15,40.45,43.31,39.72,41.68,88753660
21-Aug-15,45.30,45.48,43.07,43.07,70053084
20-Aug-15,46.07,46.47,45.66,45.66,36238227
19-Aug-15,46.78,47.08,46.30,46.61,31485511
18-Aug-15,46.84,47.43,46.70,47.27,23574104
17-Aug-15,46.81,47.45,46.57,47.32,21099746
14-Aug-15,46.53,47.10,46.52,47.00,21473402
